conv_id,reward_fn,n_paragraphs,n_attempts,discovery_paragraph,synth_idx,sequence
marine_creature__conv06,marine_creature,5,11,2,7,FW FW RC FW FW FW FW [RC] RC RC RC
marine_creature__conv07,marine_creature,4,7,1,3,FW FW FW [RC] RC RC RC
marine_creature__conv09,marine_creature,7,15,3,10,FW FW FW NF FW FW FW NF FW FW [RC] RC RC RC RC
mathematical_term__conv00,mathematical_term,5,9,1,4,FW FW FW FW [RC] RC RC RC RC
mathematical_term__conv01,mathematical_term,8,24,6,21,FW FW RC FW FW NF FW FW FW RC FW FW FW RC FW FW RC FW FW FW FW [RC] RC RC
mathematical_term__conv02,mathematical_term,4,9,3,7,FW NF FW FW RC FW FW [RC] RC
mathematical_term__conv03,mathematical_term,7,16,4,12,FW FW FW FW RC FW FW FW NF RW FW FW [RC] RC RC RC
mathematical_term__conv04,mathematical_term,5,10,3,7,FW NF FW FW RC FW FW [RC] RC RC
mathematical_term__conv05,mathematical_term,3,9,2,7,FW FW FW FW NF FW FW [RC] RC
mathematical_term__conv06,mathematical_term,4,6,1,2,FW FW [RC] RC RC RC
mathematical_term__conv08,mathematical_term,4,7,1,3,FW FW FW [RC] RC RC RC
medical_condition__conv00,medical_condition,3,5,2,3,FW NF FW [RC] RC
medical_condition__conv01,medical_condition,4,7,2,4,FW NF FW FW [RC] RC RC
medical_condition__conv02,medical_condition,8,10,1,-1,FW FW NF RC RC RC RC RC RC RC
medical_condition__conv03,medical_condition,3,6,1,3,FW FW FW [RC] RC RC
medical_condition__conv04,medical_condition,6,12,2,7,FW FW FW FW RC FW FW [RC] RC RC RC RC
medical_condition__conv06,medical_condition,6,8,1,2,FW FW [RC] RC RC RC RC RC
medical_condition__conv07,medical_condition,7,9,1,2,FW FW [RC] RC RC RC RC RC RC
medical_condition__conv08,medical_condition,4,8,1,4,FW FW FW FW [RC] RC RC RC
medical_condition__conv09,medical_condition,5,17,4,15,FW FW FW FW RC FW FW FW FW RC FW NF FW FW FW [RC] RC
military_rank__conv00,military_rank,8,20,5,16,FW FW FW RW FW FW RC FC NF FW FW FW FW RC FW FW [RC] RC RC RC
military_rank__conv01,military_rank,8,13,4,8,RW FW FW NF FW FW RC FW [RC] RC RC RC RC
military_rank__conv03,military_rank,5,14,3,11,FW FW RC FW FW FW RC FW FW FW FW [RC] RC RC
military_rank__conv04,military_rank,4,11,3,9,FW FW NF FW FW FW RC FW FW [RC] RC
military_rank__conv06,military_rank,8,13,2,6,FW FW NF FW FW FW [RC] RC RC RC RC RC RC
military_rank__conv07,military_rank,6,17,5,15,FW FW FW RC FW FW NF FW FW RC FW FW FW RC FW [RC] RC
military_rank__conv08,military_rank,8,13,2,6,FW RC FW FW FW FW [RC] RC RC RC RC RC RC
military_rank__conv09,military_rank,4,9,2,6,FW NF FW FW FW FW [RC] RC RC
movement_verb__conv01,movement_verb,5,12,4,10,FW RC FW FW FW RC FW RC FW FW [RC] RC
movement_verb__conv02,movement_verb,6,11,2,6,FW FW FW RC FW FW [RC] RC RC RC RC
movement_verb__conv03,movement_verb,7,20,6,18,FW RC FW FW RC FW FW FW FW RC FW RW FW RC FW FW FW FW [RC] RC
movement_verb__conv04,movement_verb,4,11,2,8,FW FW FW FW NF FW FW FW [RC] RC RC
movement_verb__conv05,movement_verb,3,8,2,6,FW FW FW FW RC FW [RC] RC
movement_verb__conv06,movement_verb,6,17,5,15,FW NF FW FW FW RW FW FW FW FW RC FW RC FW FW [RC] RC
movement_verb__conv07,movement_verb,7,14,4,10,FW FW RC FC NF FW FW RC FW FW [RC] RC RC RC
movement_verb__conv08,movement_verb,4,8,1,4,FW FW FW FW [RC] RC RC RC
movement_verb__conv09,movement_verb,7,13,5,10,FW FW NF FW NF FW FW NF FW NF [RW] RC RC
musical_instrument__conv00,musical_instrument,3,4,1,1,FW [RC] RC RC
musical_instrument__conv01,musical_instrument,4,15,3,13,FW FW FW FW RC FW FW FW RC FW FW FW FW [RC] RC
musical_instrument__conv02,musical_instrument,4,13,3,11,FW FW RC FW FW FW FW NF FW FW FW [RC] RC
musical_instrument__conv03,musical_instrument,7,11,1,4,FW FW FW FW [RC] RC RC RC RC RC RC
musical_instrument__conv04,musical_instrument,4,6,1,2,FW FW [RC] RC RC RC
musical_instrument__conv05,musical_instrument,7,19,5,16,FW RC FW RC FW FW FW FW RC FW FW FW FW RC FW FW [RC] RC RC
musical_instrument__conv06,musical_instrument,8,16,3,10,FW FW RC FW FW FW FW NF FW FW [RC] RC RC RC RC RC
musical_instrument__conv07,musical_instrument,3,4,1,1,FW [RC] RC RC
musical_instrument__conv08,musical_instrument,6,18,3,14,FW FW FW FW NF FW FW FW FW RC FW FW FW FW [RC] RC RC RC
musical_instrument__conv09,musical_instrument,5,11,2,7,FW FW FW FW RC FC FW [RC] RC RC RC
mythological_figure__conv00,mythological_figure,7,13,2,7,FW FW RC FW FW FW FW [RC] RC RC RC RC RC
mythological_figure__conv01,mythological_figure,8,29,7,27,FW FW FW FW RC FW FW FW FW RC FW RC FW FW FW FW NF FW FW RW FW FW FW RC FW FW FW [RC] RC
mythological_figure__conv02,mythological_figure,3,8,2,6,FW RC FW FW FW FW [RC] RC
mythological_figure__conv03,mythological_figure,6,8,1,2,FW FW [RC] RC RC RC RC RC
mythological_figure__conv04,mythological_figure,5,11,2,7,FW FW FW FW RC FW FW [RC] RC RC RC
mythological_figure__conv06,mythological_figure,6,12,2,7,FW FW RC FW FW FW FW [RC] RC RC RC RC
mythological_figure__conv07,mythological_figure,4,8,2,5,FW FW FW RC FW [RC] RC RC
mythological_figure__conv08,mythological_figure,8,28,7,26,FW FW FW FW RC FW RC FW NF FW FW FW FW RC FW FW FW FW RC FW FW FW NF FW FW FW [RC] RC
mythological_figure__conv09,mythological_figure,7,12,2,6,FW NF FW FW FW FW [RC] RC RC RC RC RC
nautical_term__conv00,nautical_term,4,7,3,5,FW RC RW FW FW [RC] RC
nautical_term__conv01,nautical_term,4,8,1,4,FW FW FW FW [RC] RC RC RC
nautical_term__conv03,nautical_term,8,21,6,18,FW FW RC RC FW FW FW NF FW FW FW NF FW FW FW FW RC FW [RC] RC RC
nautical_term__conv04,nautical_term,8,22,5,18,FW FW FW FW RC FW FW FW FW NF FW FW FW FW RC FW RC FW [RC] RC RC NF
nautical_term__conv05,nautical_term,4,11,3,9,FW FW FW FW RC FW RC FW FW [RC] RC
nautical_term__conv06,nautical_term,3,8,2,6,FW RC FW FW FW FW [RC] RC
nautical_term__conv07,nautical_term,3,5,1,2,FW FW [RC] RC RC
nautical_term__conv08,nautical_term,8,18,4,13,FW FW FW FW NF FW FW FW FW RC FW NF FW [RC] RC RC RC RC
nautical_term__conv09,nautical_term,6,10,2,5,FW FW FW FW RC [RW] RC RC RC RC
precious_metal__conv00,precious_metal,3,8,2,6,FW FW RC FW FW FW [RC] RC
precious_metal__conv02,precious_metal,5,10,3,7,FW FW NF FW NF FW FW [RC] RC RC
precious_metal__conv03,precious_metal,8,16,4,11,FW NF FW FW FW FW RC FW RC FW FW [RC] RC RC RC RC
precious_metal__conv04,precious_metal,8,9,1,1,FW [RC] RC RC RC RC RC RC RC
precious_metal__conv05,precious_metal,5,10,2,6,FW FW RC FW FW FW [RC] RC RC RC
precious_metal__conv07,precious_metal,5,11,2,7,FW FW FW RC FW FW FW [RC] RC RC RC
precious_metal__conv08,precious_metal,6,10,1,4,FW FW FW FW [RC] RC RC RC RC RC
precious_metal__conv09,precious_metal,8,9,1,1,FW [RC] RC RC RC RC RC RC RC
sports_equipment__conv00,sports_equipment,7,22,6,20,FW FW RC FW RC FW FW FW RC FW FW RC FW FW FW NF FW FW FW FW [RC] RC
sports_equipment__conv01,sports_equipment,7,12,2,6,FW RW FW FW FW FW [RC] RC RC RC RC RC
sports_equipment__conv02,sports_equipment,6,16,3,12,FW FW FW FW RC FW FW FW FW RC FW FW [RC] RC RC RC
sports_equipment__conv03,sports_equipment,8,30,7,-1,FW RC FW NF FW FW FW FW RC FW FW FW FW NF FW FW FW FW RC FW FW FW FW NF FW FW FW FW NF RC
sports_equipment__conv04,sports_equipment,3,7,1,4,FW FW FW FW [RC] RC RC
sports_equipment__conv05,sports_equipment,4,10,3,8,FW FW FW FW RC FW RC FW [RC] RC
sports_equipment__conv06,sports_equipment,4,7,1,3,FW FW FW [RC] RC RC RC
sports_equipment__conv07,sports_equipment,5,11,3,8,FW FW RC FW FW FW NF FW [RC] RC RC
sports_equipment__conv09,sports_equipment,5,13,4,11,FW FW RC FW FW FW RC FW FW RC FW [RC] RC
theatrical_term__conv00,theatrical_term,5,10,2,6,FW FW FW FW RC FW [RC] RC RC RC
theatrical_term__conv02,theatrical_term,8,19,3,13,FW FW FW FW RC FW FW FW FW RC FW FW FW [RC] RC RC RC RC RC
theatrical_term__conv03,theatrical_term,5,8,1,3,FW FW FW [RC] RC RC RC RC
theatrical_term__conv04,theatrical_term,4,10,2,7,FW FW FW FW NF FW FW [RC] RC NF
theatrical_term__conv05,theatrical_term,7,11,5,8,FW NF RW FW RC FW RC FW [RC] RC RC
theatrical_term__conv06,theatrical_term,3,9,2,7,FW FW RC FW FW FW FW [RC] RC
theatrical_term__conv07,theatrical_term,4,5,1,1,FW [RC] RC RC RC
theatrical_term__conv08,theatrical_term,7,9,1,2,FW FW [RC] RC RC RC RC RC RC
theatrical_term__conv09,theatrical_term,4,8,2,5,FW FW NF FW FW [RC] RC RC
vehicle_type__conv00,vehicle_type,5,9,2,5,FW FW FW RC FW [RC] RC RC RC
vehicle_type__conv01,vehicle_type,4,11,3,9,FW FW FW RC FW FW FW RC FW [RC] RC
vehicle_type__conv02,vehicle_type,6,8,1,2,FW FW [RC] RC RC RC RC RC
vehicle_type__conv03,vehicle_type,4,6,1,2,FW FW [RC] RC RC RC
vehicle_type__conv04,vehicle_type,6,16,4,13,FW NF FW NF FW FW FW FW NF FW FW FW FW [RC] RC RC
vehicle_type__conv05,vehicle_type,6,10,2,5,FW FW FW RC FC [RC] RC RC RC RC
vehicle_type__conv07,vehicle_type,4,12,3,10,FW FW FW FW NF FW RC FC FW FW [RC] RC
vehicle_type__conv08,vehicle_type,8,23,5,19,FW FW FW RC FW FC FW FW RC FW FW FW RC FW FW RC FW FW FW [RC] RC RC RC
vehicle_type__conv09,vehicle_type,7,18,6,16,FW NF FW FC NF FW FC FW FW RC FC NF FW FW NF FW [RC] RC
weather_phenomenon__conv00,weather_phenomenon,3,7,2,5,FW FW RC FW FW [RC] RC
weather_phenomenon__conv01,weather_phenomenon,6,17,5,15,FW FW RC FW FW FW RC FC FW RC FC FW RC FW FW [RC] RC
weather_phenomenon__conv02,weather_phenomenon,8,12,1,4,FW FW FW FW [RC] RC RC RC RC RC RC RC
weather_phenomenon__conv03,weather_phenomenon,3,6,2,4,FW FW NF FW [RC] RC
weather_phenomenon__conv04,weather_phenomenon,3,5,1,2,FW FW [RC] RC RC
weather_phenomenon__conv06,weather_phenomenon,4,8,1,4,FW FW FW FW [RC] RC RC RC
weather_phenomenon__conv08,weather_phenomenon,4,8,1,4,FW FW FW FW [RC] RC RC RC
weather_phenomenon__conv09,weather_phenomenon,8,10,1,2,FW FW [RC] RC RC RC RC RC RC RC
